ゆず茶追加|Add yuzu tea|加柚子茶|加柚子茶|유자차 추가|Thêm trà yuzu|युजु चिया थप्नुहोस्
濃厚国産練乳3倍|Japanese condensed milk ×3|日本浓郁炼乳 ×3|日本濃郁煉乳 ×3|진한 일본산 연유 3배|Sữa đặc Nhật đậm đà ×3|जापानी कन्डेन्स्ड मिल्क ×3
オレオ大盛(2倍)|Oreo ×2|奥利奥 ×2|Oreo ×2|오레오 2배|Oreo ×2|Oreo ×2
オレオ特盛(3倍)|Oreo ×3|奥利奥 ×3|Oreo ×3|오레오 3배|Oreo ×3|Oreo ×3
【たっぷり】オレオメガ盛(5倍)|Oreo ×5|奥利奥 ×5|Oreo ×5|오레오 5배|Oreo ×5|Oreo ×5
たっぷりナタデココ|Extra nata de coco|多多椰果|多多椰果|나타드코코 듬뿍|Thạch dừa thêm nhiều|प्रशस्त नाटा दे कोको
グラスフェッドWPIホエイプロテイン20gを追加する|Add 20g grass-fed whey protein isolate|加 20g 草饲分离乳清蛋白|加 20g 草飼分離乳清蛋白|목초 사육 WPI 유청 단백질 20g 추가|Thêm 20g đạm whey cô lập từ bò ăn cỏ|घाँस खुवाइएका गाईको 20g वे प्रोटिन आइसोलेट थप्नुहोस्
Large（700ml）|Large (700ml)|大杯（700ml）|大杯（700ml）|라지 (700ml)|Lớn (700ml)|ठूलो (700ml)
濃厚国産練乳2倍|Japanese condensed milk ×2|日本浓郁炼乳 ×2|日本濃郁煉乳 ×2|진한 일본산 연유 2배|Sữa đặc Nhật đậm đà ×2|जापानी कन्डेन्स्ड मिल्क ×2
フレッシュな生キウイ🥝|Fresh kiwi 🥝|新鲜猕猴桃 🥝|新鮮奇異果 🥝|신선한 키위 🥝|Kiwi tươi 🥝|ताजा किवी 🥝
フレッシュな八朔（はっさく）|Fresh hassaku citrus|新鲜八朔柑橘|新鮮八朔柑橘|신선한 핫사쿠 감귤|Cam hassaku tươi|ताजा हास्साकु सुन्तला
クーベルチュールホワイトチョコ|White couverture chocolate|白色调温巧克力|白色調溫巧克力|화이트 쿠베르튀르 초콜릿|Sô-cô-la trắng couverture|सेतो कुभर्त्युर चकलेट
Small（360ml）|Small (360ml)|小杯（360ml）|小杯（360ml）|스몰 (360ml)|Nhỏ (360ml)|सानो (360ml)
自家製珈琲ジェリー|House-made coffee jelly|自制咖啡冻|自製咖啡凍|수제 커피 젤리|Thạch cà phê tự làm|घरमै बनाइएको कफी जेली
自家製珈琲ジェリー（ハーフ）|House-made coffee jelly (half portion)|自制咖啡冻（半份）|自製咖啡凍（半份）|수제 커피 젤리 (반 분량)|Thạch cà phê tự làm (nửa phần)|घरमै बनाइएको कफी जेली (आधा भाग)
濃厚マンゴーシロップ|Rich mango syrup|浓郁芒果糖浆|濃郁芒果糖漿|진한 망고 시럽|Siro xoài đậm vị|गाढा आँप सिरप
シロップ0％（デフォルト） 0%|0% syrup (default)|0% 糖浆（默认）|0% 糖漿（預設）|시럽 0% (기본)|0% siro (mặc định)|0% सिरप (पूर्वनिर्धारित)
シロップ100％ 100%|100% syrup|100% 糖浆|100% 糖漿|시럽 100%|100% siro|100% सिरप
苺果肉2倍|Strawberry pulp ×2|草莓果肉 ×2|草莓果肉 ×2|딸기 과육 2배|Thịt dâu tây ×2|स्ट्रबेरीको गुदी ×2
濃い抹茶|Extra-strong matcha|加浓抹茶|加濃抹茶|진한 말차|Matcha đậm vị|थप गाढा माचा
きな粉+|Extra roasted soybean flour|加黄豆粉|加黃豆粉|콩가루 추가|Thêm bột đậu nành rang|थप भुटेको भटमासको पिठो
特製黒蜜追加|Add special brown sugar syrup|加特制黑糖蜜|加特製黑糖蜜|특제 흑당 시럽 추가|Thêm siro đường đen đặc biệt|विशेष ब्राउन सुगर सिरप थप्नुहोस्
【約1リットル】オメガギガント|Omega Gigant (about 1 litre)|超大杯（约 1 升）|超大杯（約 1 公升）|오메가 기간트 (약 1리터)|Siêu lớn (khoảng 1 lít)|ओमेगा गिगान्ट (करिब 1 लिटर)
毎日のご自愛タイムに|A daily treat for yourself|每日犒赏自己|每日犒賞自己|매일 나를 위한 선물|Tự thưởng mỗi ngày|हरेक दिन आफ्नै लागि उपहार
爽やかなミントの香り|Refreshing mint aroma|清新薄荷香|清新薄荷香|상쾌한 민트 향|Hương bạc hà tươi mát|ताजा पुदिनाको सुगन्ध
ハイエンドな甘み革命|A luxurious sweet treat|奢享甜蜜|奢享甜蜜|고급스러운 달콤함|Vị ngọt cao cấp|विशेष मिठासको आनन्द
芳醇バニラのご褒美|A rich vanilla treat|香醇香草之选|香醇香草之選|풍부한 바닐라의 선물|Tự thưởng vị vani thơm ngậy|गाढा भेनिलाको स्वाद
数量限定品|Limited quantity|限量供应|限量供應|수량 한정|Số lượng có hạn|सीमित परिमाण
桃果肉入り|With peach pulp|含桃子果肉|含桃子果肉|복숭아 과육 함유|Có thịt đào|आरुको गुदीसहित
特選国産抹茶|Selected Japanese matcha|精选日本抹茶|精選日本抹茶|엄선한 일본산 말차|Matcha Nhật tuyển chọn|चयनित जापानी माचा
ホット可|Available hot|可选热饮|可選熱飲|따뜻하게 가능|Có thể chọn nóng|तातो पनि उपलब्ध
高級高糖度|Premium sweet flavor|精选香甜|精選香甜|프리미엄 달콤한 맛|Vị ngọt cao cấp|उत्कृष्ट गुलियो स्वाद
アッサム茶葉3倍|Triple Assam tea leaves|三倍阿萨姆茶叶|三倍阿薩姆茶葉|아삼 찻잎 3배|Lá trà Assam gấp ba|असम चियापत्ती तीन गुणा
ジャスミン茶葉3倍|Triple jasmine tea leaves|三倍茉莉茶叶|三倍茉莉茶葉|자스민 찻잎 3배|Lá trà lài gấp ba|चमेली चियापत्ती तीन गुणा
高級きなこ|Premium roasted soybean flour|精选黄豆粉|精選黃豆粉|고급 콩가루|Bột đậu nành rang cao cấp|उत्कृष्ट भुटेको भटमासको पिठो
一口で夢中ザクザクオレオ|Crunchy Oreo in every sip|一口爱上脆脆奥利奥|一口愛上酥脆 Oreo|한 모금에 반하는 바삭한 오레오|Oreo giòn cuốn hút từng ngụm|हरेक घुट्कोमा कुरकुरे Oreo
累計2万杯超え|Over 20,000 cups served|累计售出超过 2 万杯|累計售出超過 2 萬杯|누적 2만 잔 돌파|Đã phục vụ hơn 20.000 ly|२०,००० कपभन्दा बढी बिक्री
リラックスシーンに|For a relaxing moment|享受放松时刻|享受放鬆時刻|편안한 휴식에|Cho phút giây thư giãn|आरामको पलका लागि
フランス産岩塩|French rock salt|法国岩盐|法國岩鹽|프랑스산 암염|Muối đá Pháp|फ्रान्सेली चट्टानी नुन
店内抽出|Brewed in-store|店内现萃|店內現萃|매장에서 추출|Pha tại cửa hàng|पसलमै तयार गरिएको
ひんやり濃厚、至福のひととき|A cool, rich moment of indulgence|冰凉浓郁的享受|冰涼濃郁的享受|시원하고 진한 행복의 순간|Khoảnh khắc mát lạnh, đậm đà|चिसो र गाढा स्वादको आनन्द
疲れた私を即修復|A treat after a tiring day|疲惫一天后的犒赏|疲憊一天後的犒賞|지친 하루를 위한 선물|Tự thưởng sau ngày mệt mỏi|थकित दिनपछिको मिठो उपहार
国産緑茶|Japanese green tea|日本绿茶|日本綠茶|일본산 녹차|Trà xanh Nhật|जापानी हरियो चिया
おかわり必至|A taste to come back for|让人想再来一杯|讓人想再來一杯|다시 찾고 싶은 맛|Hương vị muốn thưởng thức thêm|फेरि पिउन मन लाग्ने स्वाद
体が歓喜する香り！|An uplifting aroma|令人愉悦的香气|令人愉悅的香氣|기분 좋은 향|Hương thơm đầy hứng khởi|मन प्रसन्न बनाउने सुगन्ध
国産特選|Selected Japanese ingredients|精选日本食材|精選日本食材|엄선한 일본산 재료|Nguyên liệu Nhật tuyển chọn|चयनित जापानी सामग्री
味わいを大切に|Made with flavor in mind|用心呈现风味|用心呈現風味|맛을 소중히|Chú trọng hương vị|स्वादलाई प्राथमिकता
仕事終わりの最短ご褒美|An easy after-work treat|下班后的轻松犒赏|下班後的輕鬆犒賞|퇴근 후 간편한 선물|Tự thưởng nhanh sau giờ làm|कामपछि सजिलो मिठो उपहार
高糖度|Sweet and flavorful|香甜浓郁|香甜濃郁|높은 당도의 달콤함|Ngọt đậm vị|भरपूर गुलियो स्वाद
黒糖タピオカとミルクのコクを楽しめる定番カテゴリー。初めての方には黒糖タピオカミルクがおすすめです。|Classic drinks combining brown sugar tapioca and rich milk. Try our brown sugar tapioca milk for your first visit.|黑糖珍珠与醇厚牛奶的经典组合。初次到店推荐黑糖珍珠牛奶。|黑糖珍珠與醇厚鮮奶的經典組合。初次到店推薦黑糖珍珠鮮奶。|흑당 타피오카와 우유의 진한 맛을 즐기는 기본 메뉴입니다. 처음이라면 흑당 타피오카 밀크를 추천합니다.|Kết hợp kinh điển giữa trân châu đường đen và sữa béo ngậy. Lần đầu ghé quán, hãy thử sữa trân châu đường đen.|ब्राउन सुगर टापिओका र गाढा दूधको लोकप्रिय संयोजन। पहिलो पटक आउँदा ब्राउन सुगर टापिओका मिल्क रोज्नुहोस्।
ひんやり濃厚なデザート感覚のタピオカドリンク。オレオ、抹茶、黒ごま、バナナなど甘い一杯を楽しみたい方におすすめです。|Cool, rich tapioca drinks with a dessert-like taste. Choose Oreo, matcha, black sesame or banana for a sweet treat.|冰凉浓郁、宛如甜点的珍珠饮品。喜欢甜蜜滋味的您可选择奥利奥、抹茶、黑芝麻或香蕉口味。|冰涼濃郁、宛如甜點的珍珠飲品。喜歡甜蜜滋味的您可選擇 Oreo、抹茶、黑芝麻或香蕉口味。|디저트처럼 시원하고 진한 타피오카 음료입니다. 오레오, 말차, 흑임자, 바나나 등 달콤한 맛을 즐겨 보세요.|Đồ uống trân châu mát lạnh, đậm đà như món tráng miệng. Thử vị Oreo, matcha, mè đen hoặc chuối nếu thích ngọt.|डेजर्टजस्तै चिसो र गाढा टापिओका पेय। मिठो स्वादका लागि Oreo, माचा, कालो तिल वा केरा छान्नुहोस्।
店内抽出のお茶に特製チーズフォームを合わせたシリーズ。甘さ控えめでも満足感のある味わいです。|Fresh-brewed tea topped with our special cheese foam, with a satisfying flavor even at lower sweetness.|店内现萃茶搭配特制奶酪奶盖，减少甜度也能享受浓郁滋味。|店內現萃茶搭配特製起司奶蓋，減少甜度也能享受濃郁滋味。|매장에서 우린 차와 특제 치즈 폼의 조합입니다. 덜 달게 해도 풍부한 맛을 즐길 수 있습니다.|Trà pha tại cửa hàng cùng kem phô mai đặc biệt, đậm đà ngay cả khi chọn ít ngọt.|पसलमै बनाइएको चियामाथि विशेष चीज फोम। कम गुलियोमा पनि सन्तोषजनक स्वाद।
アッサム紅茶、ジャスミン茶、緑茶、ほうじ茶、八女抹茶など、お茶の香りを主役にしたタピオカメニューです。|Tapioca drinks highlighting the aromas of Assam, jasmine, green tea, hojicha and Yame matcha.|以阿萨姆红茶、茉莉茶、绿茶、焙茶和八女抹茶等茶香为主角的珍珠饮品。|以阿薩姆紅茶、茉莉茶、綠茶、焙茶和八女抹茶等茶香為主角的珍珠飲品。|아삼 홍차, 자스민차, 녹차, 호지차, 야메 말차 등 차의 향이 돋보이는 타피오카 메뉴입니다.|Đồ uống trân châu tôn hương trà Assam, trà lài, trà xanh, hojicha và matcha Yame.|असम, चमेली, हरियो चिया, होजिचा र यामे माचाको सुगन्धलाई मुख्य बनाइएका टापिओका पेय।
こちらの商品にはタピオカは入っていません。お好みでカスタマイズできます。|These items do not contain tapioca pearls by default. Customize them with the available options.|此系列默认不含珍珠，可选择商品提供的选项进行定制。|此系列預設不含珍珠，可選擇商品提供的選項調整。|이 상품에는 기본으로 타피오카가 들어 있지 않습니다. 제공되는 옵션으로 취향에 맞게 선택할 수 있습니다.|Các món này mặc định không có trân châu. Bạn có thể tùy chỉnh bằng các tùy chọn có sẵn.|यी वस्तुमा सामान्यतया टापिओका हुँदैन। उपलब्ध विकल्पबाट आफ्नो रोजाइअनुसार छान्न सकिन्छ।
コーヒーの香りともちもちタピオカを合わせた、甘いドリンクが苦手な方にも選びやすいカテゴリーです。|Aromatic coffee with chewy tapioca pearls, a good choice for those who prefer less-sweet drinks.|香醇咖啡搭配软糯珍珠，也适合不喜欢太甜饮品的您。|香醇咖啡搭配軟Q珍珠，也適合不喜歡太甜飲品的您。|향긋한 커피와 쫀득한 타피오카의 조합으로, 단 음료를 좋아하지 않는 분도 고르기 좋습니다.|Cà phê thơm cùng trân châu dẻo dai, phù hợp cả với người không thích đồ uống quá ngọt.|सुगन्धित कफी र चपाउन मिल्ने टापिओका, कम गुलियो पेय मन पराउनेका लागि पनि राम्रो रोजाइ।
